Subject,additional_text_types,percentage_label,star_label,traffic_light_label,traffic_light_label_with_reference_values
1,no_text,0.666666667,0.7,0.541666667,0.53125
2,no_text,0.3,0.7,0.388888889,0.454545455
3,no_text,0.736842105,0.833333333,0.764705882,0.777777778
4,no_text,0.111111111,0.2,0.545454545,0.375
5,no_text,0.774193548,0.689655172,0.606060606,0.548387097
6,no_text,0.722222222,0.769230769,0.764705882,0.909090909
7,no_text,0.666666667,0.631578947,0.666666667,0.761904762
8,no_text,0.904761905,0.793103448,0.791666667,0.826086957
9,no_text,0.3125,0.333333333,0.368421053,0.394736842
10,no_text,0.5625,0.5,0.764705882,0.642857143
11,concluding_text,0.608695652,0.625,0.705882353,0.75862069
12,concluding_text,0.615384615,0.761904762,0.75,0.888888889
13,concluding_text,0.684210526,0.761904762,0.842105263,0.928571429
14,concluding_text,0.4,0.846153846,0.625,0.615384615
15,concluding_text,0.5,0.5,0.722222222,0.733333333
16,concluding_text,0.84,0.75,0.678571429,0.739130435
17,concluding_text,0.037037037,0.166666667,0.15625,0.35483871
18,concluding_text,0.565217391,0.666666667,0.428571429,0.666666667
19,concluding_text,0.12,0.333333333,0.176470588,0.363636364
20,concluding_text,0.1875,0.090909091,0.909090909,0.466666667
21,descriptive_text,0.791666667,0.80952381,0.647058824,0.705882353
22,descriptive_text,0.272727273,0.315789474,0.5,0.466666667
23,descriptive_text,0.352941176,0.307692308,0.416666667,0.5
24,descriptive_text,0.5,0.296296296,0.409090909,0.636363636
25,descriptive_text,0.638888889,0.678571429,0.71875,0.71875
26,descriptive_text,0.833333333,0.8,0.708333333,0.727272727
27,descriptive_text,0.428571429,0.578947368,0.647058824,0.705882353
28,descriptive_text,0.304347826,0.266666667,0.578947368,0.875
29,descriptive_text,0.409090909,0.586206897,0.68,0.76
30,descriptive_text,0.787878788,0.482758621,0.695652174,0.851851852
